trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2023070,33,1,"TREMONT + FRAZIER",,0,4807,shp-33-53,1,2
2041010,34,3,"SHUTTLE PARK SOUTH",,1,5301,shp-34-04,1,2
2043020,14,2,"MOCS EXPRESS",,0,1202,shp-14-52,1,1
2057020,10G,2,"GLENWOOD",,0,2502,shp-10G-04,1,1
2060020,4,2,"DOWNTOWN",,1,6302,shp-4-64,1,1
2075020,15,2,"ST.ELMO/INCLINE",,0,1802,shp-15-51,1,2
2097020,9,2,"EAST LAKE",,0,9702,shp-9-02,1,1
2100010,33,3,"SHUTTLE PARK SOUTH",,1,5201,shp-33-04,1,2
21070,33,1,"TREMONT + FRAZIER",,0,4807,shp-33-53,1,2
2113020,33,2,"SHUTTLE PARK SOUTH",,1,4202,shp-33-04,1,2
212020,28,2,"DOWNTOWN",,1,3902,shp-28-51,1,1
2122070,33,1,"SHUTTLE PARK SOUTH",,1,4607,shp-33-04,1,2
2128020,2,2,"NORTH SHORE",,1,3302,shp-2-01,1,2
2137070,1,1,"DOWNTOWN",,1,2207,shp-1-66,1,1
2139020,4,2,"EASTGATE HAMILTON PL",,0,7302,shp-4-13,1,1
2150070,16,1,"NORTHGATE",,0,9907,shp-16-13,1,1
2151020,14,2,"MOCS EXPRESS",,1,1402,shp-14-04,1,1
2152020,14,2,"MOCS EXPRESS",,1,1502,shp-14-04,1,1
2157010,33,3,"SHUTTLE PARK SOUTH",,1,4901,shp-33-04,1,2
2162070,14,1,"MOCS EXPRESS DOWNTOWN",,0,1607,shp-14-54,1,1
2166010,33,3,"SHUTTLE PARK SOUTH",,1,5201,shp-33-04,1,2
2172010,33,3,"TREMONT + FRAZIER",,0,4501,shp-33-53,1,2
2179010,33,3,"SHUTTLE PARK SOUTH",,1,5001,shp-33-04,1,2
2194020,4,2,"DOWNTOWN",,1,6302,shp-4-64,1,1
2197070,34,1,"TREMONT + FRAZIER",,0,5307,shp-34-54,1,2
2210070,33,1,"TREMONT + FRAZIER",,0,5007,shp-33-53,1,2
2227020,33,2,"SHUTTLE PARK SOUTH",,1,5102,shp-33-04,1,2
2230070,1,1,"DOWNTOWN",,1,2307,shp-1-66,1,1
223020,9,2,"DOWNTOWN",,1,9502,shp-9-51,1,1
2233070,33,1,"SHUTTLE PARK SOUTH",,1,5107,shp-33-04,1,2
2237020,14,2,"MOCS EXPRESS",,1,1402,shp-14-04,1,1
2239070,14,1,"MOCS EXPRESS DOWNTOWN",,1,1707,shp-14-03,1,1
2251010,21,3,"DOWNTOWN",,1,101,shp-21-51,1,1
2252020,16,2,"DOWNTOWN",,1,9702,shp-16-20,1,1
2276070,33,1,"TREMONT + FRAZIER",,0,4807,shp-33-53,1,2
2278020,14,2,"MOCS EXPRESS",,1,1302,shp-14-04,1,1
2279020,14,2,"MOCS EXPRESS",,0,1402,shp-14-52,1,1
